県,学校コード,学校名,学科,募集人員,出願者数,倍率,区分,公表日,出典URL,確認日,前年度倍率,前年度差
千葉県,D112210001029,千葉県立関宿高等学校,普通科,80,26,0.33,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.24,0.09
千葉県,D112210000878,千葉県立我孫子高等学校,普通科,320,357,1.12,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.07,0.05
千葉県,D112210001225,千葉県立我孫子東高等学校,普通科,200,132,0.66,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.83,-0.17
千葉県,D112210001056,千葉県立白井高等学校,普通科,240,281,1.17,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.02,0.15
千葉県,D112210001047,千葉県立印旛明誠高等学校,普通科,200,239,1.2,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.15,0.05
千葉県,D112210000556,千葉県立成田西陵高等学校,園芸科,40,31,0.78,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.1,-0.32
千葉県,D112210000556,千葉県立成田西陵高等学校,土木造園科,40,21,0.53,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.78,-0.25
千葉県,D112210000556,千葉県立成田西陵高等学校,食品科学科,40,40,1,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.1,-0.1
千葉県,D112210000556,千葉県立成田西陵高等学校,情報処理科,40,20,0.5,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.15,-0.65
千葉県,D112210000565,千葉県立成田国際高等学校,普通科,200,264,1.32,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.38,-0.06
千葉県,D112210000565,千葉県立成田国際高等学校,国際科,120,142,1.18,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.32,-0.14
千葉県,D112210000574,千葉県立成田北高等学校,普通科,280,310,1.11,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.93,0.18
千葉県,D112210001074,千葉県立下総高等学校,園芸科,40,17,0.43,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.4,0.03
千葉県,D112210001074,千葉県立下総高等学校,自動車科,40,31,0.78,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.38,0.4
千葉県,D112210001074,千葉県立下総高等学校,情報処理科,40,16,0.4,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.28,0.12
千葉県,D112210001065,千葉県立富里高等学校,普通科,160,173,1.08,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.04,0.04
千葉県,D112210000583,千葉県立佐倉高等学校,普通科,280,424,1.51,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.29,0.22
千葉県,D112210000583,千葉県立佐倉高等学校,理数科,40,65,1.63,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.43,0.2
千葉県,D112210000592,千葉県立佐倉東高等学校,普通科,120,135,1.13,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.16,-0.03
千葉県,D112210000592,千葉県立佐倉東高等学校,調理国際科,40,50,1.25,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.2,0.05
千葉県,D112210000592,千葉県立佐倉東高等学校,服飾デザイン科,40,40,1,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.93,0.07
